Division,total_sales,mean_weekly_sales,sales_cv,Google_Impressions_share,Facebook_Impressions_share,Email_Impressions_share,Affiliate_Impressions_share,Paid_Views_share,Organic_Views_share
A,11683210.0,103391.2389380531,0.6022030953539941,0.4597410591716181,0.15132308584053616,0.36517822174334247,0.007396152716569909,0.008811085701688082,0.007550394826245122
B,99002756.0,876130.5840707965,0.6646752090137273,0.4840194495235913,0.1515415537525816,0.3405885956460106,0.009025144387082164,0.007944828491533574,0.006880428199200772
C,9225321.0,81640.00884955752,0.6312403307183256,0.003994719258797594,0.21677347051462445,0.7389269615402557,0.021057436073954394,0.008541757219248379,0.010705655393119412
D,22785935.0,201645.44247787612,0.6852946478069749,0.40846783225323613,0.16159629629222869,0.4020444668159012,0.011988053094349006,0.008342401008544723,0.007560950535740175
E,51751484.0,457977.73451327434,0.5974383467695498,0.48751496541393946,0.13344443409079665,0.3462671108165925,0.019770296854010546,0.0069545455416344165,0.006048647283026571
F,12935321.0,114471.86725663717,0.6423522205803737,0.48695492630081366,0.12309975253248473,0.3552971043964656,0.013288992225778402,0.011822876915980926,0.009536347628476684
G,22167862.0,196175.76991150444,0.6513512251529756,0.4473237396548894,0.12329540663870243,0.4013559821368533,0.013031547262199112,0.008255958390628407,0.006737365916727257
H,10429504.0,92296.49557522124,0.6529622885833904,0.3837248934291829,0.16605487179805162,0.42571025393593326,0.011768324502263923,0.0064921367828253895,0.006249519551742883
I,13504117.0,119505.46017699115,0.6665267936655335,0.19152252299717445,0.17074785557844507,0.6028051873830588,0.019524925553593458,0.007764698393101313,0.007634810094626893
J,9994114.0,88443.48672566372,0.6352736668965752,0.2961979526413555,0.14600898017164507,0.5269096327284851,0.015899057007272028,0.007459916710104803,0.007524460741137336
K,13671170.0,120983.80530973451,0.676128402405608,0.4285154591943075,0.1305378017966535,0.4177541666960482,0.009975334487710855,0.0070387304865874335,0.006178507338692752
L,28635392.0,253410.54867256636,0.6572356959410556,0.4439120694477897,0.1374122261431674,0.3969809864605323,0.008173891851123615,0.00675987966777327,0.006760946429613848
M,11859481.0,104951.1592920354,0.6881170724582377,0.45022278147823286,0.13451777684991767,0.3840462886772137,0.012731685245998369,0.010315664034995453,0.00816580371364193
N,27090216.0,239736.42477876105,0.7704355455155465,0.00040685028409328557,0.21391196145263494,0.7452074286257395,0.02213577825243223,0.009524752972503927,0.008813228412595868
O,40695480.0,360136.99115044245,0.6538671113466169,0.5223759599362975,0.10609516509065481,0.3523964175031443,0.00842152844870676,0.005983436488391615,0.004727492532805042
P,14662927.0,129760.41592920353,0.6580087470825927,0.4800693480712838,0.10597936267135036,0.39620342815289067,0.010702303971356153,0.003097583608604963,0.003947973524514071
Q,17333122.0,153390.46017699115,0.6802451933488405,0.4566791631495051,0.139791676559136,0.3804208279244475,0.011771447850517452,0.005839197332856775,0.005497687183537237
R,8861836.0,78423.32743362832,0.5814015708658914,0.48369301860461933,0.11822525703859203,0.37680571843290717,0.008476802079124894,0.006225356101659316,0.006573847743097194
S,25708360.0,227507.61061946902,0.6749210319840778,0.4839149656824766,0.1262226305767077,0.3677767699622726,0.012856814791448512,0.0047364342691459446,0.004492384717948371
T,4331495.0,38331.81415929204,0.6761677479053576,0.3906250309731777,0.16371508420566716,0.4198268220021085,0.009949008971336451,0.006871721695446896,0.009012332152263106
U,10670449.0,94428.75221238939,0.5682290257596581,0.6216069655044528,0.10287620927379885,0.2566573995165022,0.007729034233635862,0.005769579237504502,0.0053608122341058
V,35148066.0,311044.83185840707,0.6130299237000201,0.48695028442126237,0.14087720278631063,0.33835482025310143,0.009171274810072152,0.01415530217288984,0.0104911155563637
W,12567313.0,111215.1592920354,0.660003266189889,0.3120343797610342,0.14075463945347902,0.5128927934965962,0.01948209886812287,0.0073555100491901546,0.007480578371577682
X,10829554.0,95836.7610619469,0.6445257207060233,0.44703195473417723,0.12615043055765712,0.40302884818460916,0.008923115939357093,0.0076917299756390735,0.007173920608560261
Y,7823559.0,69235.03539823009,0.6538082180149019,0.44623467818199436,0.13054546087052346,0.4000476647813652,0.011079907343801433,0.005977410042976588,0.006114878779339018
Z,16908558.5,149633.2610619469,0.6673243439102005,0.44310863837650544,0.12922348433248945,0.40352057123480545,0.010286523561034199,0.006875372322386877,0.006985410172778636
