week_of_year,mean,std,count,index_vs_average
1,154267.61538461538,156391.510295952,78,80.832502703471
2,126884.25,116787.71284676695,78,66.48428093985905
3,144205.29487179487,136696.9310979118,78,75.56008990297555
4,130533.41666666667,114745.69622615392,78,68.39635609389146
5,129125.21794871795,112385.01049568049,78,67.65849399372337
6,122349.29487179487,108769.15615142207,78,64.1080740363762
7,195560.87820512822,184403.74540055974,78,102.46917460153881
8,168088.10256410256,153713.93812688673,78,88.07410402409785
9,145227.09615384616,123926.92005411004,78,76.0954890837297
10,131002.00961538461,110611.61638525019,52,68.64188747583208
11,143144.57692307694,122986.31440834735,52,75.00429932927933
12,138586.32692307694,115076.70120222907,52,72.61588647587858
13,125789.28846153847,103451.73367539361,52,65.91054755260714
14,109236.75,94712.66740621855,52,57.23741737809971
15,114723.18269230769,102024.06200793183,52,60.11217553345005
16,142359.58653846153,124038.36116278,52,74.59298333642869
17,136054.61538461538,122940.3370054989,52,71.28933080658346
18,136562.09615384616,130402.71069682106,52,71.55523846677859
19,140153.98076923078,123827.86930658796,52,73.43729921011585
20,119030.16346153847,109718.56840490032,52,62.36892938165508
21,130412.06730769231,130006.74057170538,52,68.33277196210264
22,133609.73076923078,125828.0894738213,52,70.00827034687495
23,120393.36538461539,114093.00652173121,52,63.08321424862322
24,142036.0673076923,134076.69572871228,52,74.42346707709856
25,124022.66346153847,121305.60633030914,52,64.98487874173914
26,135808.0576923077,129428.96073312723,52,71.16014053369089
27,104789.49038461539,97028.98016458441,52,54.907160804240306
28,156357.75,143122.60381521867,52,81.92768273543994
29,164995.75961538462,159529.51413774324,52,86.45379104305444
30,119726.83653846153,116722.1574826692,52,62.733969239394625
31,128833.30769230769,118315.59260350747,52,67.50554007315083
32,104465.76923076923,97229.36429933883,52,54.73753874209718
33,140058.25,132766.2501845764,52,73.3871386002992
34,188542.20192307694,181708.5441103649,52,98.79155783064863
35,147934.73076923078,147289.19173668415,52,77.51422419428692
36,152387.79807692306,145846.5555733504,52,79.84752385857713
37,170459.625,161241.971033121,52,89.31672447449562
38,144127.6826923077,133404.50908267128,52,75.51942299636278
39,159910.75961538462,154010.50418875783,52,83.78937391816162
40,232977.36538461538,227190.30152044806,52,122.07450974300562
41,212067.99038461538,193149.95419394347,52,111.11850250194249
42,239214.83653846153,211046.34620264688,52,125.34279390393634
43,208853.1826923077,192709.17107781945,52,109.43402095452424
44,227166.8173076923,192234.55055496376,52,119.02992295811536
45,362628.0,318919.7727130957,52,190.0083093737734
46,400931.8173076923,364102.89613849745,52,210.0785840607708
47,540224.625,531970.3613275824,52,283.0646493881628
48,629353.0384615385,596624.5918567749,52,329.7657843225683
49,546241.8846153846,566930.9251929837,52,286.2175480241819
50,451608.8173076923,420875.31668045436,52,236.6321074901108
51,285787.73076923075,289336.97480652353,52,149.74586508275328
52,165310.00961538462,187016.80583831389,52,86.61845044944532
