control,channel,correlation,flag
trends_index,Google_Impressions,0.30564550721323214,
is_black_friday_week,Google_Impressions,0.26799617400025,
trends_index,Facebook_Impressions,0.2562568114467332,
is_black_friday_week,Facebook_Impressions,0.24863581396954917,
trends_index,Paid_Views,-0.16186046475932692,
n_holidays,Google_Impressions,0.12624182428240058,
trends_index,Email_Impressions,0.12062477100314607,
is_black_friday_week,Email_Impressions,0.0993949712646251,
is_major_holiday_week,Google_Impressions,0.09372287513072149,
trends_index,Affiliate_Impressions,-0.08701884369930805,
n_holidays,Facebook_Impressions,0.06309538462893512,
is_major_holiday_week,Facebook_Impressions,0.04282292324801938,
is_black_friday_week,Affiliate_Impressions,-0.04261828167637555,
n_holidays,Email_Impressions,0.038846010138198606,
is_black_friday_week,Paid_Views,-0.031286528626680896,
is_major_holiday_week,Email_Impressions,0.027910407456737174,
is_major_holiday_week,Affiliate_Impressions,-0.025976685602866808,
n_holidays,Affiliate_Impressions,-0.024044618387516987,
n_holidays,Paid_Views,-0.012339260496186376,
is_major_holiday_week,Paid_Views,0.00021809233760701217,
