regressor,coefficient,std_error,t_stat,ci_lower,ci_upper,is_media
Google_Impressions,1107728.0951074376,64920.21872204551,17.06291378730794,980484.4664122284,1234971.7238026469,True
Facebook_Impressions,1986941.5164186053,74474.15976110367,26.679609716877184,1840972.1632868422,2132910.8695503687,True
Email_Impressions,1196026.1650896524,103353.82070683954,11.572152407235626,993452.6765042469,1398599.653675058,True
Affiliate_Impressions,-623190.7669917273,64941.67565774365,-9.59616087327457,-750476.4512809048,-495905.08270254976,True
Paid_Views,-301289.9937744465,73925.2830718309,-4.075601489164301,-446183.54859523504,-156396.43895365793,True
Organic_Views,9739.454831980092,3768.663505669691,2.5843259334052413,2352.8743608674986,17126.035303092685,False
n_holidays,4422.381131754902,2083.5825942373776,2.122488997549703,338.5592470496417,8506.203016460162,False
is_major_holiday_week,-14206.656629899844,2418.3795196713127,-5.874452919544531,-18946.68048845562,-9466.632771344071,False
is_black_friday_week,28791.003828452293,2057.8183512884275,13.991032692669817,24757.679859926975,32824.32779697761,False
trends_index,-7005.525765271805,2966.1035822406097,-2.361861469443287,-12819.088786463399,-1191.9627440802096,False
seas_sin_1,-1614.0031288044634,3599.1952076920456,-0.4484344515004591,-8668.425735880872,5440.419478271946,False
seas_cos_1,8550.946517641529,3150.476924057894,2.7141752578297553,2376.011746488057,14725.881288795,False
seas_sin_2,-6204.017789912558,2917.1704656995616,-2.126724462234943,-11921.671902683698,-486.3636771414176,False
seas_cos_2,15752.83493197209,2560.0843566061594,6.153248384695899,10735.069593024018,20770.60027092016,False
seas_sin_3,-15013.048603482579,2863.8590421696153,-5.242244252394812,-20626.212326135024,-9399.884880830134,False
seas_cos_3,-15793.782029706937,2478.5427669905025,-6.372204764852241,-20651.725853008324,-10935.838206405551,False
trend,-119565.60221410451,9365.639796159827,-12.76641049799179,-137922.25621457776,-101208.94821363126,False
div_B,189700.38347433764,33875.83114986161,5.599873922949123,123303.75442060888,256097.0125280664,False
div_C,89087.8265836844,12889.588908345031,6.9116111628670165,63824.232323328135,114351.42084404065,False
div_D,-14746.317855602936,15461.25822192707,-0.9537592376983777,-45050.38397057999,15557.74825937412,False
div_E,173046.3124089538,26921.363560481732,6.427843523608553,120280.4398304096,225812.18498749798,False
div_F,14181.12823594812,12598.514566007203,1.1256190689504824,-10511.960313426,38874.216785322235,False
div_G,9345.126782507426,15655.44063893704,0.5969251839047524,-21339.53686980917,40029.790434824026,False
div_H,9695.514288621225,11789.786891699892,0.8223655251518539,-13412.468019110564,32803.49659635301,False
div_I,44817.20193591393,12611.282221105177,3.553738719835454,20099.088782547784,69535.31508928008,False
div_J,27924.667159527704,11911.892683248456,2.3442678591956936,4577.357500360729,51271.976818694675,False
div_K,-11170.108354855985,12307.032987115368,-0.9076199248470638,-35291.89300960211,12951.676299890134,False
div_L,4932.235064112244,14844.559908704916,0.33225875973729335,-24163.102356949392,34027.57248517388,False
div_M,1654.8394417942318,12351.179796262439,0.1339822971644376,-22553.472958880146,25863.15184246861,False
div_N,126479.9257267445,15114.158716657459,8.36830736647947,96856.1746420959,156103.67681139312,False
div_O,-21841.47034652098,21377.23503536974,-1.0217163403210536,-63740.85101584566,20057.91032280371,False
div_P,-9079.642944251245,12697.359534818335,-0.7150811882859037,-33966.46763249519,15807.181743992693,False
div_Q,-9473.005228720227,13444.825103720992,-0.7045837454663859,-35824.86243201337,16878.851974572917,False
div_R,35119.10716904071,12062.723180604788,2.911374707288935,11476.16973505533,58762.044603026094,False
div_S,10699.482056062778,16396.6195272785,0.6525419485560674,-21437.892217403085,42836.856329528644,False
div_T,17150.068166003188,12448.541802850597,1.3776768747385324,-7249.073767583981,41549.21009959036,False
div_U,-18362.466366478548,11925.929712525656,-1.5397094238441367,-41737.288603028835,5012.355870071737,False
div_V,-16200.794995424932,19290.118379345866,-0.8398494336235539,-54009.42701894283,21607.83702809296,False
div_W,39950.686417562334,12826.402722128863,3.114722598615827,14810.937082189761,65090.43575293491,False
div_X,2632.1844164232352,11746.211775618083,0.22408794143205632,-20390.390663788206,25654.759496634677,False
div_Y,9536.836728160155,11800.727726983361,0.8081566619280074,-13592.589616727231,32666.263073047543,False
div_Z,-30993.35217424989,13733.38121208616,-2.2567896205323397,-57910.77934993876,-4075.924998561015,False
intercept,43778.74819529609,11764.477677773746,3.7212657794409254,20720.371946859545,66837.12444373264,False
