parameter,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
decay[Google_Impressions],0.7258,0.0151,0.7011,0.75,4119.2044,3115.887,0.9998,0.0002,0.0002
decay[Facebook_Impressions],0.6482,0.0335,0.5931,0.7004,4923.6335,2719.8709,1.0004,0.0005,0.0003
decay[Email_Impressions],0.0269,0.0188,0.0055,0.0618,6379.8408,2823.8811,1.0002,0.0002,0.0003
decay[Affiliate_Impressions],0.3825,0.1501,0.1395,0.624,4343.9086,2375.0466,1.0022,0.0022,0.0014
decay[Paid_Views],0.7851,0.0715,0.6763,0.8637,684.2988,457.6362,1.0055,0.0048,0.0088
half_sat[Google_Impressions],0.7825,0.0803,0.6562,0.9162,3209.7695,2603.046,1.0009,0.0014,0.0009
half_sat[Facebook_Impressions],0.7619,0.1298,0.5351,0.9431,5285.8508,2657.544,1.0003,0.0017,0.0012
half_sat[Email_Impressions],0.8676,0.0662,0.7541,0.9636,5588.77,2582.9942,1.0011,0.0008,0.0006
half_sat[Affiliate_Impressions],0.0238,0.0671,0.007,0.0258,353.9779,301.3638,1.0156,0.008,0.0367
half_sat[Paid_Views],0.6646,0.1492,0.422,0.8965,4517.4722,2606.0215,0.9999,0.0022,0.0013
slope[Google_Impressions],2.0236,0.0987,1.8776,2.1924,2230.3438,2715.6978,1.0,0.0021,0.0016
slope[Facebook_Impressions],1.2287,0.1898,0.9487,1.5554,1638.606,2469.5997,1.0034,0.0047,0.0033
slope[Email_Impressions],2.654,0.1941,2.3299,2.949,2398.2009,1785.5246,1.0028,0.0038,0.0024
slope[Affiliate_Impressions],1.9099,0.4003,1.289,2.5262,471.411,295.8724,1.0079,0.0221,0.018
slope[Paid_Views],1.944,0.3458,1.435,2.4373,581.9184,465.5854,1.007,0.0214,0.0234
mu_beta[Google_Impressions],-0.5188,0.251,-0.942,-0.1444,1629.2166,2177.1965,1.0031,0.0064,0.0049
mu_beta[Facebook_Impressions],-2.7079,0.4211,-3.398,-2.0738,2840.3741,2783.2248,1.0008,0.0079,0.006
mu_beta[Email_Impressions],-0.4418,0.3108,-0.9327,0.0571,1908.4518,2340.3407,1.0038,0.0071,0.0051
mu_beta[Affiliate_Impressions],-3.6403,0.4045,-4.2422,-3.1191,310.4783,243.4932,1.0165,0.0354,0.053
mu_beta[Paid_Views],-1.6039,0.6628,-2.7018,-0.583,605.0282,470.0934,1.0053,0.0299,0.0226
sigma_beta[Google_Impressions],0.5215,0.1713,0.2905,0.8241,1765.9651,2253.366,1.0052,0.0039,0.0034
sigma_beta[Facebook_Impressions],1.0424,0.2243,0.7218,1.4267,3547.9449,2792.2876,1.0003,0.0037,0.0028
sigma_beta[Email_Impressions],0.5605,0.1526,0.3452,0.8294,2110.9512,2862.6252,1.0004,0.0033,0.003
sigma_beta[Affiliate_Impressions],0.3978,0.1757,0.1026,0.6766,458.2022,268.4959,1.0109,0.008,0.0067
sigma_beta[Paid_Views],0.5737,0.1908,0.3002,0.9043,2109.9213,2254.7644,1.0008,0.004,0.0033
mu_alpha,0.0016,0.0098,-0.0138,0.014,295.8202,221.2327,1.0196,0.0006,0.0007
sigma_alpha,0.0078,0.0043,0.0024,0.0159,189.9525,177.4732,1.0336,0.0004,0.0003
trend_coef,0.0037,0.0027,-0.0006,0.0078,485.7126,431.6398,1.0065,0.0002,0.0002
sigma,0.0152,0.0002,0.0149,0.0156,7209.7815,3077.3708,1.0011,0.0,0.0
