channel,multiplier,impressions,assumed_spend,contribution_mean,contribution_hdi_lower,contribution_hdi_upper
Google_Impressions,0.0,0.0,0.0,8.02667702845975e-14,1.3967988074650693e-18,2.625482229028855e-13
Google_Impressions,0.1,260357201.05,13668753.055125,1031892.8989556509,574780.2815295677,1581847.1999207183
Google_Impressions,0.2,520714402.1,27337506.11025,4101645.088939495,2576312.5379928593,5578947.241502784
Google_Impressions,0.30000000000000004,781071603.1500001,41006259.165375,9155601.056278236,6284349.042990976,11894158.295119023
Google_Impressions,0.4,1041428804.2,54675012.2205,16099013.783030419,11803660.484868769,20236793.894112676
Google_Impressions,0.5,1301786005.25,68343765.27562499,24808629.89773189,18575749.6464076,29865438.915567677
Google_Impressions,0.6000000000000001,1562143206.3000002,82012518.33075,35146457.498262145,28441357.431603316,42712634.311789796
Google_Impressions,0.7000000000000001,1822500407.3500001,95681271.38587502,46970845.58194597,39172248.40184954,56216711.47071762
Google_Impressions,0.8,2082857608.4,109350024.441,60143906.40633616,51066023.88156572,71050393.06806126
Google_Impressions,0.9,2343214809.4500003,123018777.496125,74535656.54314917,62753872.646176495,85561173.03557003
Google_Impressions,1.0,2603572010.5,136687530.55124998,90025807.7163064,76460139.14933473,101425472.3443287
Google_Impressions,1.1,2863929211.55,150356283.606375,106504130.29319076,91425340.37118673,118816957.70602925
Google_Impressions,1.2000000000000002,3124286412.6000004,164025036.6615,123870072.07182108,106709594.4671051,137314964.27611694
Google_Impressions,1.3,3384643613.65,177693789.716625,142032057.32684615,127257088.98136924,160128241.04882807
Google_Impressions,1.4000000000000001,3645000814.7000003,191362542.77175003,160906697.82333994,144368855.75543565,180327945.67464903
Google_Impressions,1.5,3905358015.75,205031295.826875,180418026.29534778,162481062.02669102,201371224.2968336
Google_Impressions,1.6,4165715216.8,218700048.882,200496795.66711584,180020159.1849518,222433877.82088065
Google_Impressions,1.7000000000000002,4426072417.85,232368801.93712503,221079853.9253568,199013669.93105978,244488511.24559027
Google_Impressions,1.8,4686429618.900001,246037554.99225,242109590.1128546,218203839.28404364,267090841.3998912
Google_Impressions,1.9000000000000001,4946786819.950001,259706308.04737502,263533442.1040713,238143600.97805506,290819310.6020435
Google_Impressions,2.0,5207144021.0,273375061.10249996,285303456.4162728,256901639.06952605,313466431.85652465
Facebook_Impressions,0.0,0.0,0.0,0.09356449059793692,2.338825748571156e-12,0.0032001580113842926
Facebook_Impressions,0.1,79190110.4,570168.7948800001,3563349.701313008,431145.26148776966,7613578.599313591
Facebook_Impressions,0.2,158380220.8,1140337.5897600001,7617976.344878615,1447819.8607765045,14746250.827081865
Facebook_Impressions,0.30000000000000004,237570331.20000005,1710506.3846400003,11890504.159621205,2843468.324089769,21563491.227454245
Facebook_Impressions,0.4,316760441.6,2280675.1795200002,16290980.900680516,4621846.449501572,28247237.528936688
Facebook_Impressions,0.5,395950552.0,2850843.9744,20770912.80507325,7255965.962729037,35212931.10272153
Facebook_Impressions,0.6000000000000001,475140662.4000001,3421012.7692800006,25299858.644158993,9698543.191859016,41176283.75865853
Facebook_Impressions,0.7000000000000001,554330772.8000001,3991181.5641600005,29857153.668346595,12360579.299304122,47399511.248741604
Facebook_Impressions,0.8,633520883.2,4561350.3590400005,34428087.8467507,15188982.794556605,53476334.275186844
Facebook_Impressions,0.9,712710993.6,5131519.15392,39001854.68886652,18234092.09668326,59536550.010497294
Facebook_Impressions,1.0,791901104.0,5701687.9488,43570338.21550682,22851962.70233045,66467927.29447533
Facebook_Impressions,1.1,871091214.4000001,6271856.74368,48127345.59408399,27921159.707825538,74073819.88250646
Facebook_Impressions,1.2000000000000002,950281324.8000002,6842025.538560001,52668097.19212301,31288961.570608787,79617444.81898317
Facebook_Impressions,1.3,1029471435.2,7412194.33344,57188874.750100836,33733439.35196895,83712402.41358744
Facebook_Impressions,1.4000000000000001,1108661545.6000001,7982363.128320001,61686771.373684555,37086297.52744968,88893491.5520145
Facebook_Impressions,1.5,1187851656.0,8552531.9232,66159509.57747605,41640498.97890168,95182263.48981628
Facebook_Impressions,1.6,1267041766.4,9122700.718080001,70605306.19922361,43382466.885956086,98725632.12670602
Facebook_Impressions,1.7000000000000002,1346231876.8000002,9692869.512960002,75022770.40746753,48317624.85822843,105123981.16112393
Facebook_Impressions,1.8,1425421987.2,10263038.30784,79410825.56909287,50780116.00503312,109100139.76193132
Facebook_Impressions,1.9000000000000001,1504612097.6000001,10833207.102720002,83768648.63098282,54251750.21250191,113952304.27202079
Facebook_Impressions,2.0,1583802208.0,11403375.8976,88095622.56020291,57734705.97877706,118847791.32358079
Email_Impressions,0.0,0.0,0.0,3.05295619578605e-18,1.7851125985251864e-26,8.573668595782103e-19
Email_Impressions,0.1,222911682.761017,334367.5241415255,174537.74842367377,48813.658716024205,364165.9191079471
Email_Impressions,0.2,445823365.522034,668735.048283051,1023038.2669861598,429519.6524535765,1864796.752320474
Email_Impressions,0.30000000000000004,668735048.283051,1003102.5724245765,2895585.4956749096,1427928.0566229497,4820107.529659272
Email_Impressions,0.4,891646731.044068,1337470.096566102,6059472.056369584,3318586.084858785,9301491.338948617
Email_Impressions,0.5,1114558413.805085,1671837.6207076274,10723999.368218048,6518961.601622169,15730072.291254727
Email_Impressions,0.6000000000000001,1337470096.566102,2006205.144849153,17047931.011796374,11185223.559983004,23968728.816667046
Email_Impressions,0.7000000000000001,1560381779.327119,2340572.6689906786,25145343.85947669,17482130.502200108,34115979.72587588
Email_Impressions,0.8,1783293462.088136,2674940.193132204,35091693.23413296,25394921.76616702,45905139.28112308
Email_Impressions,0.9,2006205144.849153,3009307.7172737294,46929759.6310071,35813558.14703355,60526682.28940198
Email_Impressions,1.0,2229116827.61017,3343675.241415255,60675185.24266294,47978498.48971214,76683857.23661996
Email_Impressions,1.1,2452028510.371187,3678042.7655567806,76321567.22602947,60292185.01640543,92755048.30868684
Email_Impressions,1.2000000000000002,2674940193.132204,4012410.289698306,93845111.88301659,75714789.36332573,111726719.78647307
Email_Impressions,1.3,2897851875.893221,4346777.813839831,113208799.41259879,92988641.61171152,133184027.87364128
